id,카테고리,퀴즈,보기1,보기2,정답,팁
129,시장상식,대형주와 소형주의 차이점은?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
130,시장상식,ETF와 인덱스펀드의 차이는?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
131,시장상식,S&P500과 다우지수의 가장 큰 차이는?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
132,시장상식,나스닥100은 어떤 기업만 포함될 수 있을까?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
133,시장상식,시가총액 상위 종목이 지수에 주는 영향은?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
134,시장상식,대형주와 소형주의 차이점은?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
135,시장상식,ETF와 인덱스펀드의 차이는?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
136,시장상식,S&P500과 다우지수의 가장 큰 차이는?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
137,시장상식,나스닥100은 어떤 기업만 포함될 수 있을까?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
138,시장상식,시가총액 상위 종목이 지수에 주는 영향은?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
139,시장상식,대형주와 소형주의 차이점은?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
140,시장상식,ETF와 인덱스펀드의 차이는?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
141,시장상식,S&P500과 다우지수의 가장 큰 차이는?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
142,시장상식,나스닥100은 어떤 기업만 포함될 수 있을까?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
143,시장상식,시가총액 상위 종목이 지수에 주는 영향은?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
144,시장상식,대형주와 소형주의 차이점은?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
145,시장상식,ETF와 인덱스펀드의 차이는?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
146,시장상식,S&P500과 다우지수의 가장 큰 차이는?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
147,시장상식,나스닥100은 어떤 기업만 포함될 수 있을까?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
148,시장상식,시가총액 상위 종목이 지수에 주는 영향은?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
149,시장상식,대형주와 소형주의 차이점은?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
150,시장상식,ETF와 인덱스펀드의 차이는?,구성 방식과 대표성에서 차이,크게 다르지 않다,구성 방식과 대표성에서 차이,"팁! 지수마다 구성 방식이 달라요. 다우=30종 가격가중, S&P500=500종 시총가중."
151,기본개념,액면분할 후 주가는 왜 다시 오를 수 있을까?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
152,기본개념,유상증자와 무상증자의 차이는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
153,기본개념,자사주 매입이 단순 주가 부양을 넘어 의미하는 것은?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
154,기본개념,배당락일 이후에도 주가가 오를 수 있는 이유는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
155,기본개념,IPO의 본질적인 의미는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
156,기본개념,액면분할 후 주가는 왜 다시 오를 수 있을까?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
157,기본개념,유상증자와 무상증자의 차이는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
158,기본개념,자사주 매입이 단순 주가 부양을 넘어 의미하는 것은?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
159,기본개념,배당락일 이후에도 주가가 오를 수 있는 이유는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
160,기본개념,IPO의 본질적인 의미는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
161,기본개념,액면분할 후 주가는 왜 다시 오를 수 있을까?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
162,기본개념,유상증자와 무상증자의 차이는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
163,기본개념,자사주 매입이 단순 주가 부양을 넘어 의미하는 것은?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
164,기본개념,배당락일 이후에도 주가가 오를 수 있는 이유는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
165,기본개념,IPO의 본질적인 의미는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
166,기본개념,액면분할 후 주가는 왜 다시 오를 수 있을까?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
167,기본개념,유상증자와 무상증자의 차이는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
168,기본개념,자사주 매입이 단순 주가 부양을 넘어 의미하는 것은?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
169,기본개념,배당락일 이후에도 주가가 오를 수 있는 이유는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
170,기본개념,IPO의 본질적인 의미는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
171,기본개념,액면분할 후 주가는 왜 다시 오를 수 있을까?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
172,기본개념,유상증자와 무상증자의 차이는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
173,기본개념,자사주 매입이 단순 주가 부양을 넘어 의미하는 것은?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
174,기본개념,배당락일 이후에도 주가가 오를 수 있는 이유는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
175,기본개념,IPO의 본질적인 의미는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
176,기본개념,액면분할 후 주가는 왜 다시 오를 수 있을까?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
177,기본개념,유상증자와 무상증자의 차이는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
178,기본개념,자사주 매입이 단순 주가 부양을 넘어 의미하는 것은?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
179,기본개념,배당락일 이후에도 주가가 오를 수 있는 이유는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
180,기본개념,IPO의 본질적인 의미는?,투자자 심리·유통주식 수 변화 때문,의미 없다,투자자 심리·유통주식 수 변화 때문,팁! 개념 이해는 단순 계산보다 투자자 심리·자금흐름과 연결돼 있어요.
181,심리/매크로,금리 인상이 성장주와 가치주에 주는 차이,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
182,심리/매크로,달러 강세가 수출기업에 주는 영향,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
183,심리/매크로,유가 상승이 에너지주와 항공주에 미치는 반대 효과,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
184,심리/매크로,VIX가 낮은데도 시장이 급락하는 이유,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
185,심리/매크로,FOMO와 패닉셀이 동시에 나타날 때는?,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
186,심리/매크로,금리 인상이 성장주와 가치주에 주는 차이,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
187,심리/매크로,달러 강세가 수출기업에 주는 영향,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
188,심리/매크로,유가 상승이 에너지주와 항공주에 미치는 반대 효과,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
189,심리/매크로,VIX가 낮은데도 시장이 급락하는 이유,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
190,심리/매크로,FOMO와 패닉셀이 동시에 나타날 때는?,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
191,심리/매크로,금리 인상이 성장주와 가치주에 주는 차이,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
192,심리/매크로,달러 강세가 수출기업에 주는 영향,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
193,심리/매크로,유가 상승이 에너지주와 항공주에 미치는 반대 효과,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
194,심리/매크로,VIX가 낮은데도 시장이 급락하는 이유,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
195,심리/매크로,FOMO와 패닉셀이 동시에 나타날 때는?,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
196,심리/매크로,금리 인상이 성장주와 가치주에 주는 차이,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
197,심리/매크로,달러 강세가 수출기업에 주는 영향,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
198,심리/매크로,유가 상승이 에너지주와 항공주에 미치는 반대 효과,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
199,심리/매크로,VIX가 낮은데도 시장이 급락하는 이유,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
200,심리/매크로,FOMO와 패닉셀이 동시에 나타날 때는?,투자자 심리와 경제 환경에 따라 달라진다,항상 정반대 결과가 나온다,투자자 심리와 경제 환경에 따라 달라진다,팁! 금리·환율·원자재 같은 매크로 변수는 업종별로 다른 영향을 줘요.
