카테고리,퀴즈,보기1,보기2,정답,힌트
투자지표,PER이 업계 평균보다 낮으면 보통 어떤 의미일까요?,상대적으로 저평가일 수 있다,항상 고평가 신호다,1,팁!: PER=주가÷이익. 업종 평균과 비교해 해석해요.
투자지표,PER이 업계 평균보다 높을 때는 보통 어떻게 보나요?,성장 기대가 반영됐을 수 있다,항상 저평가다,1,팁!: 고PER=성장 기대 반영 가능.
투자지표,PBR이 1 미만이면 보통 어떤 뜻일까요?,순자산가치보다 싸게 거래될 수 있다,항상 프리미엄 상태다,1,팁!: PBR=주가÷순자산.
투자지표,PBR이 높은 기업을 볼 때 함께 봐야 할 지표는?,ROE 등 수익성 지표,배당락 여부,1,팁!: 높은 ROE는 높은 PBR을 정당화하기도 해요.
투자지표,ROE가 높다는 건 무엇을 잘한다는 뜻일까요?,자본을 효율적으로 굴린다,부채를 전혀 쓰지 않는다,1,팁!: ROE=순이익÷자기자본.
투자지표,ROE가 낮은 기업을 볼 때 우선 떠올릴 수 있는 건?,자본 효율이 낮다,성장률이 매우 높다,1,팁!: 낮은 ROE=자본 활용이 비효율적일 수 있음.
투자지표,ROA와 ROE의 차이를 잘 설명한 것은?,"ROA는 자산 효율, ROE는 자본 효율",둘 다 같은 뜻,1,팁!: 부채비중이 ROE에 영향을 줘요.
투자지표,EPS가 꾸준히 증가한다면 일반적으로?,이익 창출력이 개선되고 있다,주가가 반드시 하락한다,1,팁!: EPS=주당순이익.
투자지표,EPS가 줄었을 때 확인해야 할 것은?,이익 감소나 주식 수 증가 여부,PER의 정의,1,팁!: 자사주 발행·실적 둔화 등 원인 확인.
투자지표,순이익률이 하락하는 기업은 보통 무엇을 점검해야 할까요?,"원가 상승이나 판가, 경쟁 요인",배당락일,1,팁!: 이익률 하락=수익성 악화 가능.
투자지표,영업이익률이 높다는 건 보통 어떤 의미일까요?,본업에서 돈을 잘 번다,재무손익이 크다,1,팁!: 영업활동 효율.
투자지표,매출 성장률이 높은데도 이익이 늘지 않으면?,수익성이 악화됐을 수 있다,성장성은 항상 이익을 보장한다,1,팁!: 성장과 수익성은 별개.
투자지표,자유현금흐름(FCF)이 장기간 플러스면?,배당·투자 여력이 크다,현금이 부족하다,1,팁!: FCF=영업현금-투자지출.
투자지표,영업현금흐름과 순이익이 장기간 괴리될 때는?,회계/현금 흐름 구조를 추가로 점검,무시해도 된다,1,팁!: 현금창출력 확인.
투자지표,CAPEX(설비투자)가 급증할 때 볼 포인트는?,향후 성장 대비 재무여력,배당락일,1,팁!: 투자 확대=성장/현금흐름 균형.
투자지표,부채비율이 높으면 일반적으로?,재무 레버리지 부담이 크다,현금이 넘친다,1,팁!: 부채/자본.
투자지표,이자보상배율이 낮다는 건?,영업이익으로 이자 갚기 버겁다,영업이익이 불필요하다,1,팁!: 이자비용 커버 능력.
투자지표,유동비율이 낮으면 우려되는 것은?,단기지급능력 부족,장기 성장률 둔화,1,팁!: 유동자산/유동부채.
투자지표,당좌비율은 무엇을 더 엄격히 보나요?,재고를 제외한 단기지급능력,장기 설비투자계획,1,팁!: 유동비율보다 보수적.
투자지표,재고자산이 급증하면 체크할 점은?,재고누적/수요둔화 가능성,주식병합 여부,1,팁!: 재고회전율 확인.
투자지표,매출채권이 빠르게 늘면 우려 포인트는?,외상매출 회수 위험,배당성향 증가,1,팁!: 현금화 지연 리스크.
투자지표,현금전환주기(CCC)가 길어진다면?,현금화 속도가 느려졌다,영업이익률이 높아졌다,1,팁!: 재고·채권·채무 기간 합.
투자지표,고PER이지만 고성장 기업을 어떻게 볼까?,PEG 같은 지표로 성장 반영해 본다,PER만 보고 비싸다고 본다,1,팁!: 성장률 고려.
투자지표,저PBR·저ROE 조합은 보통 무엇을 시사?,수익성이 낮아 디스카운트,프리미엄 산업,1,팁!: ROE 개선 가능성 확인.
투자지표,고PBR·고ROE 조합은 보통 어떤 상태?,수익성 우수해 프리미엄,수익성 저조해 할인,1,팁!: 수익성과 밸류의 조합.
투자지표,PSR(매출 대비 주가)이 높은 산업의 특징은?,이익보다 매출 성장 기대가 크다,성장이 멈췄다,1,팁!: 초기 성장주에 자주 사용.
투자지표,현금흐름 할인 관점에서 금리가 오르면 밸류에 미치는 영향은?,성장주의 현재가치에 부담,항상 가치주에만 악영향,1,팁!: 할인율↑=밸류에이션 압박.
투자지표,자사주 매입은 EPS에 어떤 영향을 줄 수 있을까요?,유통주식 감소로 EPS 개선,EPS 희석,1,팁!: 분모 감소 효과.
투자지표,증자로 주식수가 늘면 EPS에는?,희석될 수 있다,항상 개선된다,1,팁!: 이익이 같다면 주당 이익은 낮아짐.
투자지표,배당을 늘리면 언제나 좋은 걸까?,현금여력과 투자기회와의 균형이 중요,무조건 좋다,1,팁!: 과도한 배당은 성장여력 저해.
투자지표,배당성장률이 꾸준히 높은 기업의 장점은?,현금흐름의 탄탄함 시사,성장성 부재 시사,1,팁!: 장기 주주환원 문화.
투자지표,컨센서스 대비 실적이 부진하면 보통?,밸류에이션이 압박 받는다,밸류에이션이 즉시 개선된다,1,팁!: ‘예상 대비’가 핵심.
투자지표,가이던스가 상향되면 밸류에 어떤 영향을?,미래 기대 반영으로 프리미엄 가능,항상 할인 적용,1,팁!: 전망 상향은 호재.
투자지표,비용 절감으로 이익이 늘었을 때 주의할 점은?,일회성인지 지속성인지 구분,영업외손익만 확인,1,팁!: 구조적 개선 vs 일회성.
투자지표,영업외손익이 일시적으로 커진 실적은?,본업과 구분해 해석,영업성과로 간주,1,팁!: 영업이익과 구분.
투자지표,분기 실적이 좋지만 재고가 쌓일 때?,앞으로의 판가/수요 점검,배당락일만 확인,1,팁!: 재고·수요 균형.
투자지표,부채 만기가 단기 위주일 때 우려는?,차환 리스크,배당성향 상승,1,팁!: 단기금리 변동 민감.
투자지표,환율 변동이 큰 업종은 밸류 해석 시 무엇이 중요할까?,원가/판매 통화 일치 여부,배당락일,1,팁!: 환노출 관리.
투자지표,원가 비중이 큰 산업에서 마진이 개선되려면?,판가 인상 또는 원가 하락,재고 증가,1,팁!: 스프레드 개선.
투자지표,장기적으로 ROE를 높이는 방법은?,수익성 개선·자본 효율화,유통주식수만 늘리기,1,팁!: 마진·회전율·레버리지 균형.
투자지표,잉여현금이 꾸준한 기업의 특징은?,배당·투자·부채상환 선택 폭↑,항상 적자,1,팁!: 선택권(옵셔널리티).
투자지표,매출 총이익률(GPM)이 상승하면 보통?,원가 통제 또는 판가 우위,수요 붕괴,1,팁!: 원가/가격 구조 개선.
투자지표,판관비 비중이 급증했다면?,효율 저하 또는 일회성 비용,수익성 개선의 신호,1,팁!: 비용 구조 확인.
투자지표,재무제표에서 ‘현금 및 현금성자산’이 크게 늘면?,유동성 여력 개선,부채 즉시 증가,1,팁!: 단기 안전판.
투자지표,감가상각비가 큰 산업을 볼 때 포인트는?,현금흐름과 이익의 차이,배당락일,1,팁!: 현금 창출력 따로 보기.
투자지표,주당순자산(BPS) 대비 주가가 크게 높다면?,자산가치보다 기대가 크다,항상 저평가다,1,팁!: 성장/수익성 프리미엄.
투자지표,매출채권회전일수가 길어지면?,현금 회수 지연 위험,원가 하락 확정,1,팁!: 회전율 확인.
투자지표,재고회전일수가 짧아지면?,재고 효율이 좋아졌다,수요가 줄었다,1,팁!: 빠른 소진.
투자지표,비용 구조에서 고정비 비중이 높으면?,매출 변동에 이익 변동이 커진다,이익 변동이 작아진다,1,팁!: 영업 레버리지.
투자지표,원자재 가격 하락이 마진에 유리한 업종은?,원재료 비중이 큰 제조업,원자재 생산업,1,팁!: 투입비용 하락=스프레드 ↑.
투자지표,단기 급성장 후 이익률이 꺾이는 기업은?,성장 후 수익성 관리 필요,항상 장기 호황 진입,1,팁!: 체질 개선 필요.
투자지표,고배당 정책 전환 기업을 볼 때 확인할 것?,현금흐름의 지속 가능성,신규 상장 여부,1,팁!: 배당의 지속성.
투자지표,환헤지 비용이 높은 환경에서 수익성은?,해외수익 환산이 줄 수 있다,무조건 개선된다,1,팁!: 헤지 비용 부담.
투자지표,현금흐름표의 투자활동현금흐름이 마이너스일 때 항상 나쁜가요?,성장 투자 중일 수 있다,항상 악재다,1,팁!: 맥락 필요.
투자지표,설비가동률 상승은 보통 무엇에 긍정적일까?,마진 개선,부채 증가,1,팁!: 고정비 분산 효과.
투자지표,주문잔고가 늘면 보통 의미는?,미래 매출 가시성↑,현재 매출 감소 확정,1,팁!: 백로그.
투자지표,환율 민감도가 낮은 기업의 특징은?,매출·원가 통화가 유사,해외매출 의존 높음,1,팁!: 내재 헤지.
투자지표,구독형 매출 모델의 장점은?,매출의 예측 가능성↑,매출이 항상 일회성,1,팁!: 반복 과금.
투자지표,플랫폼 수수료율이 상승하면?,수익성 개선 가능,이익률 반드시 하락,1,팁!: Take rate.
투자지표,규모의 경제가 형성되면?,매출 증가에 비용 증가폭이 줄 수 있다,비용이 비례 증가,1,팁!: 고정비 분산.
투자지표,고객 이탈률(Churn)이 낮아지면?,매출 안정성↑,매출 불확실성↑,1,팁!: 유지율 중요.
투자지표,신규 고객 획득 비용(CAC)이 낮아지면?,성장 효율↑,성장 효율↓,1,팁!: 유입 효율 개선.
투자지표,ARPU(가입자당 매출)가 상승하면?,수익 다각화 또는 가격 인상 효과,이탈률 증가 확정,1,팁!: 단가/믹스 효과.
투자지표,환율 변동성이 클 때 실적 가이던스에 필요한 것은?,보수적 가정과 범위 제시,장밋빛 수치만 제시,1,팁!: 범위 가이던스.
차트/기술,단기 이동평균선이 장기선을 위로 돌파했다면?,골든크로스,데드크로스,1,팁!: 상승 전환 신호로 해석하는 경우가 많아요.
차트/기술,단기 이동평균선이 장기선 밑으로 내려갔다면?,데드크로스,골든크로스,1,팁!: 하락 전환 신호로 보는 경우가 많아요.
차트/기술,RSI가 70 이상이면 보통 어떤 상태일까요?,과매수 구간일 수 있다,과매도 구간일 수 있다,1,"팁!: RSI 70↑ 과열, 30↓ 침체."
차트/기술,RSI가 30 이하로 떨어지면?,과매도 구간일 수 있다,과매수 구간일 수 있다,1,팁!: 과도한 하락 구간 가능.
차트/기술,주가가 주요 지지선에서 여러 번 반등했다면?,지지선이 강하다,지지선이 의미 없다,1,팁!: 반복 방어=매수세 확인.
차트/기술,주요 저항선을 돌파했다면?,추세 전환 또는 가속 가능,항상 즉시 하락,1,팁!: 돌파 후 지지 전환 여부 확인.
차트/기술,거래량이 없이 오르는 장세는?,지속성에 의문이 생길 수 있다,강세 확정,1,팁!: 거래량은 추세 신뢰도.
차트/기술,거래량이 급증하며 상승하면?,추세 강화 신호일 수 있다,의미 없다,1,팁!: 수급이 붙는 상황.
차트/기술,볼린저밴드 상단을 강하게 돌파하면?,추세 가속 가능성,하락 반전 확정,1,팁!: 밴드 폭과 거래량 함께 보기.
차트/기술,볼린저밴드 하단에서 멈추고 거래량이 줄면?,하락 피로 신호일 수 있다,추가 급락 확정,1,팁!: 확인 신호 필요.
차트/기술,MACD가 시그널선을 상향 돌파하면?,상승 모멘텀 신호,하락 모멘텀 신호,1,팁!: 모멘텀 전환 시그널.
차트/기술,스윙 하이(이전 고점)를 넘지 못하고 밀릴 때는?,저항이 강하다는 신호,지지선 강화 신호,1,팁!: 고점 돌파 여부 중요.
차트/기술,삼각수렴 끝에서 거래량이 터지면?,방향성 추세 출현 가능,변동성 축소 지속,1,팁!: 수렴→확장 패턴.
차트/기술,갭 상승 후 그 갭을 메우지 않고 버틴다면?,강한 수급의 신호일 수 있다,의미 없는 움직임,1,팁!: 갭 유지=힘이 강함.
차트/기술,장대양봉 출현 후 다음 날 조정이 작게 나오면?,추세 지속 가능,반전 확정,1,팁!: 강한 매수세 잔존.
차트/기술,이중바닥 패턴 완성 후 넥라인 돌파는?,상승 전환 신호일 수 있다,하락 지속 신호,1,팁!: W패턴.
차트/기술,이중천장 패턴 확인 시 보통?,상승 피로 신호,상승 가속 신호,1,팁!: M패턴.
차트/기술,장기 이동평균선 위에서 장기간 머물면?,장기 강세 추세 가능,즉시 약세 전환,1,팁!: 추세 지속성.
차트/기술,장기 이동평균선 아래에서 장기간 머물면?,장기 약세 추세 가능,즉시 강세 전환,1,팁!: 하방 추세.
차트/기술,변동성이 극도로 낮아지는 기간이 길어지면?,이후 변동성 확대 가능,항상 그대로 유지,1,팁!: 스퀴즈 이후 확장.
차트/기술,돌파 이후 재테스트에서 지지에 성공하면?,신뢰도 높은 돌파,가짜 돌파 확정,1,팁!: 돌파-되돌림-재상승.
차트/기술,지지선이 깨졌지만 바로 회복되면?,페이크 하락 가능,하락 추세 확정,1,팁!: 함정 돌파.
차트/기술,상승 채널 하단에서 반등하면?,채널 유지 시 추세 지속,추세 종료 확정,1,팁!: 채널 매매.
차트/기술,하락 채널 상단을 돌파하면?,추세 전환 가능,하락 지속 확정,1,팁!: 채널 이탈.
차트/기술,OBV(거래량지표)가 신고가를 먼저 내면?,상승 선행 신호 가능,하락 신호 확정,1,팁!: 거래량 선행.
차트/기술,스토캐스틱이 과매수에 오래 머물면?,강세장에서 지속 가능,즉시 하락 확정,1,팁!: 강한 추세에선 지표가 붙어있기도.
차트/기술,"RSI 다이버전스(가격↑, RSI↓)가 보이면?",상승 둔화 신호 가능,상승 가속 확정,1,팁!: 모멘텀 약화 징후.
차트/기술,가격이 신고가인데 거래량은 줄면?,상승 탄력이 둔화될 수 있다,반드시 급등한다,1,팁!: 거래량 확인.
차트/기술,저점이 점차 높아지고 고점도 높아질 때는?,상승 추세,하락 추세,1,팁!: 고저점 패턴.
차트/기술,저점과 고점이 모두 낮아질 때는?,하락 추세,상승 추세,1,팁!: 추세 정의.
시장상식,분기 실적이 컨센서스를 크게 웃돌면?,호재로 주가 상승 가능,악재로 하락,1,팁!: ‘예상 대비’가 핵심.
시장상식,어닝 쇼크가 나오면 보통?,실망 매물로 약세 가능,호재로 급등,1,팁!: 예상 하회=부정적 반응.
시장상식,가이던스 상향 발표의 일반적 해석은?,미래 전망 개선,전망 악화,1,팁!: 기대 상향은 호재.
시장상식,가이던스 하향 발표의 일반적 해석은?,전망 악화,전망 개선,1,팁!: 향후 이익 기대 축소.
시장상식,인수합병(M&A) 발표 시 단기 반응은?,"피인수↑, 인수 기업은 부담 가능",양측 모두 급등,1,팁!: 프리미엄 vs 자금 부담.
시장상식,신규 상장(IPO) 첫날 급등 후 주의할 점은?,단기 과열 후 조정 가능,변동이 거의 없다,1,팁!: 수급 불균형.
시장상식,락업 해제는 보통 무엇을 의미하나요?,매물 부담 증가 가능,유통주식 급감,1,팁!: 보호예수 해제 물량.
시장상식,분기 배당 발표는 보통 어떤 의미인가요?,현금흐름 자신감 표시,성장 포기 선언,1,팁!: 정기적 환원 신호.
시장상식,미국 상장사가 분기마다 내는 보고서는?,10-Q,10-K,1,"팁!: 10-Q=분기, 10-K=연간."
시장상식,중요 이슈 발생 시 즉시 내는 보고서는?,8-K,S-1,1,팁!: 주요 이벤트 공시.
시장상식,지수 리밸런싱 편입 예상 뉴스가 나오면?,수급 개선 기대,영향 전혀 없음,1,팁!: 패시브 자금 유입.
시장상식,자사주 소각 공시의 일반적 효과는?,주당가치 개선 기대,주당가치 희석,1,팁!: 유통 주식 감소.
시장상식,컨퍼런스콜에서 보통 확인하는 것은?,전망·리스크·질의응답,배당락일,1,팁!: 경영진 코멘트.
시장상식,섹터 로테이션이란?,시장 환경에 따른 업종 이동,주가 조작 기법,1,팁!: 금리/경기 국면별 선호 변화.
시장상식,인덱스 편출 소식은 보통?,단기 수급 부담,호재 확정,1,팁!: 패시브 이탈.
시장상식,전망은 좋은데 주가가 반응이 없다면?,이미 기대에 반영됐을 수 있다,전망은 항상 즉시 반영,1,팁!: 선반영 이슈.
시장상식,실적이 좋지만 가이던스가 약하면?,주가 압박 가능,주가 급등 확정,1,팁!: ‘미래’가 더 중요.
시장상식,공급망 이슈가 해소되면 어떤 업종이 유리할까?,제조·유통 전반의 마진 개선,항상 금융업만 유리,1,팁!: 원가/납기 정상화.
시장상식,규제 강화 뉴스가 나오면 성장주는?,밸류에이션 부담 가능,항상 프리미엄 상승,1,팁!: 리스크 프리미엄.
시장상식,테마 급등 후 거래정지·단기과열 지정은?,변동성·과열 경고,강세 보장,1,팁!: 경고성 장치.
시장상식,공모가 대비 시초가가 낮게 형성되면?,수요 미흡 신호일 수 있다,수요 과열 신호,1,팁!: 수요/공급 균형.
시장상식,스핀오프(분할 상장)의 일반적 의미는?,사업가치 재평가 기회,기업 가치 훼손 확정,1,팁!: 포커스 강화.
시장상식,합병 비율이 불리하다는 논란은?,지배주주/소액주주 이해 충돌 이슈,배당락 이슈,1,팁!: 공정성 논의.
시장상식,분기 실적 해석 시 무엇이 핵심일까요?,예상 대비·가이던스·캐시플로,배당락일,1,팁!: 숫자와 맥락 동시 확인.
시장상식,장기 투자에서 가장 중요한 재무 항목 중 하나는?,현금흐름의 질,단기 테마성 뉴스,1,팁!: 현금이 답.
시장상식,경영진 교체 뉴스는 보통?,전략 변화 기대 vs 불확실성,항상 호재,1,팁!: 방향성·연속성 체크.
시장상식,리오프닝(재개방) 테마의 기본 논리는?,수요 정상화·서비스 회복,공급망 붕괴 심화,1,팁!: 이동·소비 회복.
시장상식,친환경 전환 정책이 강화되면?,관련 설비·소재 수요↑,항상 모든 업종에 악재,1,팁!: 정책 수혜 업종.
시장상식,감사보고서 한정·의견거절 이슈는?,회계 신뢰성 의심,호재 신호,1,팁!: 상장 리스크.
시장상식,내부자 대량 매도 뉴스는?,부정적 신호로 해석될 수 있다,항상 호재,1,팁!: 동기·맥락 확인.
시장상식,내부자 대량 매수 뉴스는?,긍정 신호로 해석될 수 있다,항상 악재,1,팁!: 이해상충 반대 방향.
시장상식,리콜(제품 회수) 공시는 보통?,단기 비용·평판 리스크,확실한 호재,1,팁!: 안전·품질 이슈.
시장상식,특허 소송에서 패소했다면?,손실·사업 차질 우려,수익성 개선 확정,1,팁!: 법적 리스크.
시장상식,정부 보조금 축소 뉴스는?,해당 산업 마진 압박 가능,항상 호재,1,팁!: 보조금 의존도.
시장상식,환율 자유화·변동폭 확대는?,수출입 기업 변동성↑,변동성↓ 확정,1,팁!: 환리스크 증대.
시장상식,대형 ETF 신규 상장·자금 유입은?,관련 섹터 수급 개선,개별주만 영향,1,팁!: 패시브 자금.
시장상식,거시 불확실성 확대 시 IPO 시장은?,보수적 가격 형성·연기 가능,활황 확정,1,팁!: 리스크 회피.
시장상식,신약 임상 3상 성공 뉴스는?,상업화 기대↑,항상 악재,1,팁!: 바이오 밸류 이벤트.
시장상식,대규모 설비 증설 발표는?,성장 기대 vs 재무 부담,항상 호재,1,팁!: 투자-현금흐름 균형.
시장상식,대규모 감산 뉴스(산유국)는?,유가 상승 압력,유가 하락 확정,1,팁!: 공급 축소.
시장상식,반독점 규제 조사 개시는?,빅테크 밸류 압박 가능,항상 프리미엄 상승,1,팁!: 규제 리스크 프리미엄.
시장상식,원재료 가격 상한제 도입은?,원가 안정 기대,원가 급등 확정,1,팁!: 정책 영향.
시장상식,해외 생산 기지 이전(리쇼어링) 뉴스는?,비용↑ vs 공급망 안정,항상 비용↓,1,팁!: 전략적 선택.
시장상식,대주주 변경 공시는?,지배 구조 변화 신호,배당락 이슈,1,팁!: 의사결정 구조.
시장상식,신규 시장 진출(국가/카테고리) 발표는?,성장 기회 vs 초기 비용,리스크 전혀 없음,1,팁!: 학습곡선 비용.
시장상식,대규모 사고·화재 뉴스는?,단기 실적·평판 리스크,항상 호재,1,팁!: 일회성/보험 커버 여부.
시장상식,해킹·보안 침해 공시는?,신뢰·규제 리스크,수요 폭증 확정,1,팁!: 보안 투자 필요.
시장상식,데이터 노출 벌금 부과는?,비용·평판 리스크,규제 리스크 감소,1,팁!: 컴플라이언스.
시장상식,정부 인프라 투자 확대는?,건설·자재 수요↑,항상 IT만 수혜,1,팁!: 정책 수요.
