id,카테고리,난이도,퀴즈,보기1,보기2,정답,힌트
1,심리/매크로,E,주변이 다 산다고 덩달아 사는 행동은?,군중심리,리스크 회피,1,"힌트! 군중심리는 버블 형성의 촉매가 되기도. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
2,투자지표,M,H기업 부채비율이 높지만 금융업입니다. 어떤 해석이 맞을까요?,업종 특성상 일반 제조업과 단순 비교는 곤란,부채비율이 높으면 무조건 위험하다,1,힌트! 금융업은 레버리지 구조가 높습니다. 업종 특성을 고려해 해석. 업계 평균·성장성·재무 구조를 함께 보세요.
3,시장상식,M,실적은 무난하지만 가이던스를 하향했습니다. 반응은?,향후 전망 악화로 주가 압박,가이던스는 의미 없다,1,힌트! ‘미래 전망’은 현재 주가에 큰 영향. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
4,투자지표,M,G기업은 EPS가 늘었지만 주가는 제자리입니다. 가장 타당한 해석은?,기대에 이미 반영됐거나 가이던스가 약했다,EPS 증가면 항상 즉시 급등한다,1,힌트! 주가는 ‘예상 대비’에 반응. 가이던스/매크로/밸류 부담도 영향. 업계 평균·성장성·재무 구조를 함께 보세요.
5,시장상식,M,실적은 무난하지만 가이던스를 하향했습니다. 반응은?,향후 전망 악화로 주가 압박,가이던스는 의미 없다,1,힌트! ‘미래 전망’은 현재 주가에 큰 영향. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
6,심리/매크로,H,국제 유가 급등 시 수혜를 볼 가능성이 큰 업종은?,석유·가스 기업,항공사,1,"힌트! 비용 측면에서 항공/운송은 부담↑. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
7,배당,E,"배당수익률 6%, 업계 평균 2%입니다. 어떤 해석이 맞을까요?",업계 대비 배당 매력 높음,업계 대비 배당이 부족,1,"힌트! 2~4% 준수, 5%↑ 고배당으로 보기도 하나, 재무 건전성도 함께 확인. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다."
8,심리/매크로,E,금리 급등 시 어떤 스타일이 상대적으로 불리할까요?,성장주,가치주,1,"힌트! 할인율↑ → 미래이익 비중 큰 성장주에 부담. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
9,투자지표,M,H기업 부채비율이 높지만 금융업입니다. 어떤 해석이 맞을까요?,업종 특성상 일반 제조업과 단순 비교는 곤란,부채비율이 높으면 무조건 위험하다,1,힌트! 금융업은 레버리지 구조가 높습니다. 업종 특성을 고려해 해석. 업계 평균·성장성·재무 구조를 함께 보세요.
10,기본개념,E,액면분할을 실시했습니다. 일반적 효과는?,"주식 수↑, 주당 가격↓(총가치 동일)","주식 수↓, 주당 가격↑(총가치 증가)",1,힌트! 파이를 더 잘게 나누는 개념. 기업 가치 총액은 동일. 거래 활성화 효과가 나타나기도. 예: 분할 후 유통주식수 증가로 거래가 활발해질 수 있습니다.
11,차트/기술,M,주가가 200일선 위에서 9개월 연속 유지되었습니다. 해석은?,장기 상승 추세 유지 가능성이 크다,즉각 하락 반전 신호,1,힌트! 장기 이평 위 ‘장기간’ 체류는 추세 강도 시사. 거래량/뉴스 병행 확인. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
12,배당,E,배당락일 다음 날 주가는 보통 어떻게 되나요?,배당금만큼 하락할 수 있음(시장 상황에 따라 달라짐),배당락과 무관하게 급등,1,힌트! 권리 분리로 가격 조정 발생 가능. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
13,심리/매크로,H,달러 강세가 이어지면 일반적으로 유리한 쪽은?,수출기업,수입기업,1,"힌트! 달러 강세 시 해외 매출 환산 이익↑(수출 유리), 수입 비용↑(수입 불리). 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
14,시장상식,M,실적은 무난하지만 가이던스를 하향했습니다. 반응은?,향후 전망 악화로 주가 압박,가이던스는 의미 없다,1,힌트! ‘미래 전망’은 현재 주가에 큰 영향. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
15,심리/매크로,H,금리 급등 시 어떤 스타일이 상대적으로 불리할까요?,성장주,가치주,1,"힌트! 할인율↑ → 미래이익 비중 큰 성장주에 부담. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
16,배당,E,미국 기업의 일반적인 배당 관행은?,분기배당,연 1회 배당,1,"힌트! 미국=분기배당 일반적, 한국=연 1회 많음. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다."
17,투자지표,E,D기업은 최근 5년 연속 자유현금흐름(FCF)이 플러스입니다. 투자자 입장에서는?,배당·자사주매입 등 주주환원 여력이 크다,현금이 부족해 성장 투자가 어렵다,1,힌트! FCF=영업현금-투자지출. 장기간 플러스는 재무 체력과 유연성을 의미. 업계 평균·성장성·재무 구조를 함께 보세요.
18,차트/기술,E,볼린저밴드 하단 접촉 후 거래량이 감소하고 있습니다. 해석은?,매도 압력 완화로 반등 가능성,추가 급락 신호,1,힌트! 하단 접촉+거래량 감소는 하락 피로 시사. 확인 신호 추가 체크. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
19,심리/매크로,H,금리 급등 시 어떤 스타일이 상대적으로 불리할까요?,성장주,가치주,1,"힌트! 할인율↑ → 미래이익 비중 큰 성장주에 부담. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
20,기본개념,M,자사주 대규모 매입 발표. 보통 어떤 효과가 있나요?,유통 주식 감소→EPS↑→주가 지지/상승 효과,유통 주식 증가→주가 희석,1,힌트! 공급 감소와 주당지표 개선이 핵심. 예: 공급 감소로 주당이익(EPS) 개선 효과가 납니다.
21,차트/기술,M,강세장에서 RSI가 70인데 상승이 이어집니다. 어떤 해석이 맞을까요?,과매수 상태가 지속될 수 있다,과매수면 즉시 하락한다,1,힌트! RSI 70↑=과매수지만 강세장에서는 오래 유지되기도. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
22,차트/기술,M,주가가 200일선 위에서 9개월 연속 유지되었습니다. 해석은?,장기 상승 추세 유지 가능성이 크다,즉각 하락 반전 신호,1,힌트! 장기 이평 위 ‘장기간’ 체류는 추세 강도 시사. 거래량/뉴스 병행 확인. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
23,기본개념,E,우선주는 보통 어떤 권리/특징에 초점이 있나요?,배당/의결권 구조가 보통주와 다르다,항상 보통주보다 수익이 높다,1,힌트! 배당 우선/의결권 제한 등 구조적 차이. 예: 배당 우선·의결권 제한 등 조건을 확인하세요.
24,심리/매크로,H,CPI(물가) 상승률이 예상보다 높게 나왔습니다. 시장 반응은 보통?,금리 인상 우려로 위험자산 압박,성장 기대 확대로 위험자산 급등,1,"힌트! 인플레이션↑ → 긴축 우려. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
25,차트/기술,E,볼린저밴드 하단 접촉 후 거래량이 감소하고 있습니다. 해석은?,매도 압력 완화로 반등 가능성,추가 급락 신호,1,힌트! 하단 접촉+거래량 감소는 하락 피로 시사. 확인 신호 추가 체크. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
26,심리/매크로,H,국제 유가 급등 시 수혜를 볼 가능성이 큰 업종은?,석유·가스 기업,항공사,1,"힌트! 비용 측면에서 항공/운송은 부담↑. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
27,시장상식,M,분기 실적에서 EPS가 컨센서스를 크게 상회했습니다. 보통 시장 반응은?,호재로 주가 상승 가능성,악재로 하락,1,힌트! 실적은 ‘예상 대비’가 관건. 서프라이즈는 긍정 반응이 일반적. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
28,시장상식,M,실적은 무난하지만 가이던스를 하향했습니다. 반응은?,향후 전망 악화로 주가 압박,가이던스는 의미 없다,1,힌트! ‘미래 전망’은 현재 주가에 큰 영향. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
29,투자지표,H,F기업은 ROA가 높지만 ROE는 낮습니다. 무엇 때문일까요?,부채가 적어 레버리지 효과가 낮다,자산이 적어 자본 효율이 낮다,1,힌트! ROE는 레버리지(부채) 영향이 큽니다. 부채가 적으면 ROE가 낮을 수 있어요. 업계 평균·성장성·재무 구조를 함께 보세요.
30,시장상식,M,지수 리밸런싱 편입 예상 뉴스. 해당 종목은?,수급 개선 기대로 단기 상승 압력,리밸런싱은 영향이 전혀 없다,1,힌트! 패시브 자금 유입 기대. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
31,차트/기술,M,강세장에서 RSI가 70인데 상승이 이어집니다. 어떤 해석이 맞을까요?,과매수 상태가 지속될 수 있다,과매수면 즉시 하락한다,1,힌트! RSI 70↑=과매수지만 강세장에서는 오래 유지되기도. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
32,투자지표,M,E기업은 매출은 늘지만 순이익률이 12%→8%로 하락했습니다. 어떤 신호일까요?,성장과 함께 수익성 악화 위험,안정적이며 특별한 이슈 없음,1,힌트! 매출과 이익률을 함께 봐야 해요. 원가/경쟁/판가 요인을 점검. 업계 평균·성장성·재무 구조를 함께 보세요.
33,시장상식,M,분기 실적에서 EPS가 컨센서스를 크게 상회했습니다. 보통 시장 반응은?,호재로 주가 상승 가능성,악재로 하락,1,힌트! 실적은 ‘예상 대비’가 관건. 서프라이즈는 긍정 반응이 일반적. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
34,기본개념,E,유상증자와 무상증자의 차이를 올바르게 설명한 것은 무엇일까요?,"유상증자는 주주가 돈을 내고 새 주식을 받으며, 무상증자는 잉여금을 활용해 주주가 돈을 내지 않고 새 주식을 받는다","유상증자는 기존 주주에게 공짜 주식을 주고, 무상증자는 돈을 받고 새 주식을 판다",1,힌트! 유상=자금조달(주주가 돈을 내고 새 주식을 받음). 무상=잉여금 자본전입(돈을 내지 않고 새 주식을 받음). 예: 무상증자 후 주식 수는 늘지만 기업에 새 돈은 들어오지 않습니다.
35,기본개념,M,연속된 적자 등으로 관리종목 지정 시 의미는?,상장폐지 위험 경고 신호,기업 건전성 강화 신호,1,힌트! 재무/공시 리스크 점검 필요. 예: 상장폐지 요건 충족 여부를 주기적으로 점검하세요.
36,심리/매크로,H,금리 급등 시 어떤 스타일이 상대적으로 불리할까요?,성장주,가치주,1,"힌트! 할인율↑ → 미래이익 비중 큰 성장주에 부담. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
37,투자지표,E,C기업의 배당성향이 35%로 발표됐습니다. 어떤 해석이 맞을까요?,현금환원이 크지만 지속 가능성은 점검 필요,배당을 거의 하지 않는다,2,"힌트! 배당성향=배당÷순이익. 30~60% 안정, 100%↑는 이익보다 더 줬다는 뜻(지속성 주의). 업계 평균·성장성·재무 구조를 함께 보세요."
38,시장상식,M,경쟁사 인수 발표. 단기 반응은 어떻게 엇갈릴까요?,"피인수 기업 주가↑, 인수 기업은 부담으로 약세 가능",양측 모두 즉시 급등,1,힌트! 인수 프리미엄 vs 자금 부담/시너지 불확실성. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
39,투자지표,H,F기업은 ROA가 높지만 ROE는 낮습니다. 무엇 때문일까요?,부채가 적어 레버리지 효과가 낮다,자산이 적어 자본 효율이 낮다,1,힌트! ROE는 레버리지(부채) 영향이 큽니다. 부채가 적으면 ROE가 낮을 수 있어요. 업계 평균·성장성·재무 구조를 함께 보세요.
40,기본개념,M,신주인수권 발행은 투자자에게 무엇을 의미하나요?,정해진 가격에 새 주식을 살 수 있는 권리,보유 주식을 강제로 팔아야 하는 의무,1,힌트! 권리 행사/양도 가능 여부를 공시로 확인. 예: 권리 행사 기간/가격은 공시로 확인하세요.
41,심리/매크로,H,CPI(물가) 상승률이 예상보다 높게 나왔습니다. 시장 반응은 보통?,금리 인상 우려로 위험자산 압박,성장 기대 확대로 위험자산 급등,1,"힌트! 인플레이션↑ → 긴축 우려. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
42,배당,E,미국 기업의 일반적인 배당 관행은?,분기배당,연 1회 배당,1,"힌트! 미국=분기배당 일반적, 한국=연 1회 많음. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다."
43,심리/매크로,H,CPI(물가) 상승률이 예상보다 높게 나왔습니다. 시장 반응은 보통?,금리 인상 우려로 위험자산 압박,성장 기대 확대로 위험자산 급등,1,"힌트! 인플레이션↑ → 긴축 우려. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
44,시장상식,M,신규 상장(IPO) 첫날 상한가. 어떤 리스크를 염두에 둘까요?,단기 과열 후 조정 가능성,상장 초기엔 변동이 거의 없다,1,힌트! 수요/공급 불균형으로 급등락이 잦음. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
45,시장상식,M,신규 상장(IPO) 첫날 상한가. 어떤 리스크를 염두에 둘까요?,단기 과열 후 조정 가능성,상장 초기엔 변동이 거의 없다,1,힌트! 수요/공급 불균형으로 급등락이 잦음. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
46,배당,E,배당락일 다음 날 주가는 보통 어떻게 되나요?,배당금만큼 하락할 수 있음(시장 상황에 따라 달라짐),배당락과 무관하게 급등,1,힌트! 권리 분리로 가격 조정 발생 가능. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
47,시장상식,M,실적은 무난하지만 가이던스를 하향했습니다. 반응은?,향후 전망 악화로 주가 압박,가이던스는 의미 없다,1,힌트! ‘미래 전망’은 현재 주가에 큰 영향. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
48,기본개념,M,우선주는 보통 어떤 권리/특징에 초점이 있나요?,배당/의결권 구조가 보통주와 다르다,항상 보통주보다 수익이 높다,1,힌트! 배당 우선/의결권 제한 등 구조적 차이. 예: 배당 우선·의결권 제한 등 조건을 확인하세요.
49,투자지표,M,A기업의 PER이 12배이고 업계 평균은 14배입니다. 어떤 해석이 맞을까요?,업계 평균보다 저평가됐다,업계 평균보다 비싸지만 성장 기대가 반영됐다,1,"힌트! PER=주가÷이익. 대략 10배↓ 저평가, 20배↑ 성장 기대로 보는 경우가 많아요. 업종 평균과 비교가 핵심. 업계 평균·성장성·재무 구조를 함께 보세요."
50,배당,E,대규모 일회성 현금 배당을 발표했습니다. 이것은?,특별배당,정기배당,1,힌트! 비정기적 일회성. 지속성과 별개. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
51,투자지표,H,I기업의 PER은 높지만 이익 성장률도 매우 높습니다. 어떤 관점이 타당할까요?,성장률을 반영한 PEG로도 함께 판단,PER만 보고 비싸다고 판단,1,힌트! PEG=PER÷성장률. 고PER이라도 고성장이면 적정할 수 있어요. 업계 평균·성장성·재무 구조를 함께 보세요.
52,배당,E,배당락일 다음 날 주가는 보통 어떻게 되나요?,배당금만큼 하락할 수 있음(시장 상황에 따라 달라짐),배당락과 무관하게 급등,1,힌트! 권리 분리로 가격 조정 발생 가능. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
53,차트/기술,M,강세장에서 RSI가 80인데 상승이 이어집니다. 어떤 해석이 맞을까요?,과매수 상태가 지속될 수 있다,과매수면 즉시 하락한다,1,힌트! RSI 70↑=과매수지만 강세장에서는 오래 유지되기도. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
54,심리/매크로,H,고용지표가 크게 호조입니다. 주식시장은?,경기 견조 vs 긴축 우려가 엇갈려 변동성↑,반드시 강세로 직행,1,"힌트! ‘좋은 뉴스=나쁜 뉴스’ 역설 가능. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
55,심리/매크로,H,주변이 다 산다고 덩달아 사는 행동은?,군중심리,리스크 회피,1,"힌트! 군중심리는 버블 형성의 촉매가 되기도. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
56,기본개념,M,연속된 적자 등으로 관리종목 지정 시 의미는?,상장폐지 위험 경고 신호,기업 건전성 강화 신호,1,힌트! 재무/공시 리스크 점검 필요. 예: 상장폐지 요건 충족 여부를 주기적으로 점검하세요.
57,배당,E,25년 연속 배당 인상 기업을 무엇이라 하나요?,배당귀족주,무배당주,1,힌트! S&P500 내 오랜 배당 인상 기록. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
58,심리/매크로,E,CPI(물가) 상승률이 예상보다 높게 나왔습니다. 시장 반응은 보통?,금리 인상 우려로 위험자산 압박,성장 기대 확대로 위험자산 급등,1,"힌트! 인플레이션↑ → 긴축 우려. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
59,배당,E,대규모 일회성 현금 배당을 발표했습니다. 이것은?,특별배당,정기배당,1,힌트! 비정기적 일회성. 지속성과 별개. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
60,기본개념,E,액면분할을 실시했습니다. 일반적 효과는?,"주식 수↑, 주당 가격↓(총가치 동일)","주식 수↓, 주당 가격↑(총가치 증가)",1,힌트! 파이를 더 잘게 나누는 개념. 기업 가치 총액은 동일. 거래 활성화 효과가 나타나기도. 예: 분할 후 유통주식수 증가로 거래가 활발해질 수 있습니다.
61,투자지표,E,C기업의 배당성향이 45%로 발표됐습니다. 어떤 해석이 맞을까요?,현금환원이 크지만 지속 가능성은 점검 필요,배당을 거의 하지 않는다,2,"힌트! 배당성향=배당÷순이익. 30~60% 안정, 100%↑는 이익보다 더 줬다는 뜻(지속성 주의). 업계 평균·성장성·재무 구조를 함께 보세요."
62,배당,E,배당락일 다음 날 주가는 보통 어떻게 되나요?,배당금만큼 하락할 수 있음(시장 상황에 따라 달라짐),배당락과 무관하게 급등,1,힌트! 권리 분리로 가격 조정 발생 가능. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
63,심리/매크로,H,CPI(물가) 상승률이 예상보다 높게 나왔습니다. 시장 반응은 보통?,금리 인상 우려로 위험자산 압박,성장 기대 확대로 위험자산 급등,1,"힌트! 인플레이션↑ → 긴축 우려. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
64,배당,E,"배당수익률 6%, 업계 평균 2%입니다. 어떤 해석이 맞을까요?",업계 대비 배당 매력 높음,업계 대비 배당이 부족,1,"힌트! 2~4% 준수, 5%↑ 고배당으로 보기도 하나, 재무 건전성도 함께 확인. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다."
65,시장상식,M,실적은 무난하지만 가이던스를 하향했습니다. 반응은?,향후 전망 악화로 주가 압박,가이던스는 의미 없다,1,힌트! ‘미래 전망’은 현재 주가에 큰 영향. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
66,심리/매크로,H,국제 유가 급등 시 수혜를 볼 가능성이 큰 업종은?,석유·가스 기업,항공사,1,"힌트! 비용 측면에서 항공/운송은 부담↑. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
67,기본개념,E,연속된 적자 등으로 관리종목 지정 시 의미는?,상장폐지 위험 경고 신호,기업 건전성 강화 신호,1,힌트! 재무/공시 리스크 점검 필요. 예: 상장폐지 요건 충족 여부를 주기적으로 점검하세요.
68,시장상식,M,경쟁사 인수 발표. 단기 반응은 어떻게 엇갈릴까요?,"피인수 기업 주가↑, 인수 기업은 부담으로 약세 가능",양측 모두 즉시 급등,1,힌트! 인수 프리미엄 vs 자금 부담/시너지 불확실성. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
69,시장상식,M,경쟁사 인수 발표. 단기 반응은 어떻게 엇갈릴까요?,"피인수 기업 주가↑, 인수 기업은 부담으로 약세 가능",양측 모두 즉시 급등,1,힌트! 인수 프리미엄 vs 자금 부담/시너지 불확실성. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
70,차트/기술,E,볼린저밴드 하단 접촉 후 거래량이 감소하고 있습니다. 해석은?,매도 압력 완화로 반등 가능성,추가 급락 신호,1,힌트! 하단 접촉+거래량 감소는 하락 피로 시사. 확인 신호 추가 체크. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
71,심리/매크로,H,달러 강세가 이어지면 일반적으로 유리한 쪽은?,수출기업,수입기업,1,"힌트! 달러 강세 시 해외 매출 환산 이익↑(수출 유리), 수입 비용↑(수입 불리). 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
72,배당,E,25년 연속 배당 인상 기업을 무엇이라 하나요?,배당귀족주,무배당주,1,힌트! S&P500 내 오랜 배당 인상 기록. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
73,시장상식,M,분기 실적에서 EPS가 컨센서스를 크게 상회했습니다. 보통 시장 반응은?,호재로 주가 상승 가능성,악재로 하락,1,힌트! 실적은 ‘예상 대비’가 관건. 서프라이즈는 긍정 반응이 일반적. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
74,기본개념,E,유상증자와 무상증자의 차이를 올바르게 설명한 것은 무엇일까요?,"유상증자는 주주가 돈을 내고 새 주식을 받으며, 무상증자는 잉여금을 활용해 주주가 돈을 내지 않고 새 주식을 받는다","유상증자는 기존 주주에게 공짜 주식을 주고, 무상증자는 돈을 받고 새 주식을 판다",1,힌트! 유상=자금조달(주주가 돈을 내고 새 주식을 받음). 무상=잉여금 자본전입(돈을 내지 않고 새 주식을 받음). 예: 무상증자 후 주식 수는 늘지만 기업에 새 돈은 들어오지 않습니다.
75,차트/기술,M,주가가 200일선 위에서 6개월 연속 유지되었습니다. 해석은?,장기 상승 추세 유지 가능성이 크다,즉각 하락 반전 신호,1,힌트! 장기 이평 위 ‘장기간’ 체류는 추세 강도 시사. 거래량/뉴스 병행 확인. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
