id,카테고리,난이도,퀴즈,보기1,보기2,정답,힌트
226,시장상식,M,신규 상장(IPO) 첫날 상한가. 어떤 리스크를 염두에 둘까요?,단기 과열 후 조정 가능성,상장 초기엔 변동이 거의 없다,1,힌트! 수요/공급 불균형으로 급등락이 잦음. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
227,시장상식,M,분기 실적에서 EPS가 컨센서스를 크게 상회했습니다. 보통 시장 반응은?,호재로 주가 상승 가능성,악재로 하락,1,힌트! 실적은 ‘예상 대비’가 관건. 서프라이즈는 긍정 반응이 일반적. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
228,투자지표,E,C기업의 배당성향이 55%로 발표됐습니다. 어떤 해석이 맞을까요?,현금환원이 크지만 지속 가능성은 점검 필요,배당을 거의 하지 않는다,2,"힌트! 배당성향=배당÷순이익. 30~60% 안정, 100%↑는 이익보다 더 줬다는 뜻(지속성 주의). 업계 평균·성장성·재무 구조를 함께 보세요."
229,투자지표,M,G기업은 EPS가 늘었지만 주가는 제자리입니다. 가장 타당한 해석은?,기대에 이미 반영됐거나 가이던스가 약했다,EPS 증가면 항상 즉시 급등한다,1,힌트! 주가는 ‘예상 대비’에 반응. 가이던스/매크로/밸류 부담도 영향. 업계 평균·성장성·재무 구조를 함께 보세요.
230,투자지표,M,H기업 부채비율이 높지만 금융업입니다. 어떤 해석이 맞을까요?,업종 특성상 일반 제조업과 단순 비교는 곤란,부채비율이 높으면 무조건 위험하다,1,힌트! 금융업은 레버리지 구조가 높습니다. 업종 특성을 고려해 해석. 업계 평균·성장성·재무 구조를 함께 보세요.
231,기본개념,E,신주인수권 발행은 투자자에게 무엇을 의미하나요?,정해진 가격에 새 주식을 살 수 있는 권리,보유 주식을 강제로 팔아야 하는 의무,1,힌트! 권리 행사/양도 가능 여부를 공시로 확인. 예: 권리 행사 기간/가격은 공시로 확인하세요.
232,배당,E,무배당 기업이 많은 업종은 어디일까요?,고성장 IT/바이오 등 재투자 중심,유틸리티 등 안정업종,1,힌트! 성장기에 현금은 투자로 돌리는 경향. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
233,심리/매크로,E,국제 유가 급등 시 수혜를 볼 가능성이 큰 업종은?,석유·가스 기업,항공사,1,"힌트! 비용 측면에서 항공/운송은 부담↑. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
234,시장상식,M,신규 상장(IPO) 첫날 상한가. 어떤 리스크를 염두에 둘까요?,단기 과열 후 조정 가능성,상장 초기엔 변동이 거의 없다,1,힌트! 수요/공급 불균형으로 급등락이 잦음. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
235,투자지표,M,B기업 ROE가 22%이고 경쟁사 평균은 8%입니다. 어떤 해석이 더 맞을까요?,주주 자본을 효율적으로 활용한다,자본 효율이 경쟁사보다 낮다,1,"힌트! ROE=순이익÷자기자본. 15%↑ 우수, 5%↓ 낮음. 지속성도 함께 확인. 업계 평균·성장성·재무 구조를 함께 보세요."
236,시장상식,M,지수 리밸런싱 편입 예상 뉴스. 해당 종목은?,수급 개선 기대로 단기 상승 압력,리밸런싱은 영향이 전혀 없다,1,힌트! 패시브 자금 유입 기대. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
237,기본개념,E,유상증자와 무상증자의 차이를 올바르게 설명한 것은 무엇일까요?,"유상증자는 주주가 돈을 내고 새 주식을 받으며, 무상증자는 잉여금을 활용해 주주가 돈을 내지 않고 새 주식을 받는다","유상증자는 기존 주주에게 공짜 주식을 주고, 무상증자는 돈을 받고 새 주식을 판다",1,힌트! 유상=자금조달(주주가 돈을 내고 새 주식을 받음). 무상=잉여금 자본전입(돈을 내지 않고 새 주식을 받음). 예: 무상증자 후 주식 수는 늘지만 기업에 새 돈은 들어오지 않습니다.
238,차트/기술,E,볼린저밴드 하단 접촉 후 거래량이 감소하고 있습니다. 해석은?,매도 압력 완화로 반등 가능성,추가 급락 신호,1,힌트! 하단 접촉+거래량 감소는 하락 피로 시사. 확인 신호 추가 체크. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
239,시장상식,M,경쟁사 인수 발표. 단기 반응은 어떻게 엇갈릴까요?,"피인수 기업 주가↑, 인수 기업은 부담으로 약세 가능",양측 모두 즉시 급등,1,힌트! 인수 프리미엄 vs 자금 부담/시너지 불확실성. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
240,기본개념,E,액면분할을 실시했습니다. 일반적 효과는?,"주식 수↑, 주당 가격↓(총가치 동일)","주식 수↓, 주당 가격↑(총가치 증가)",1,힌트! 파이를 더 잘게 나누는 개념. 기업 가치 총액은 동일. 거래 활성화 효과가 나타나기도. 예: 분할 후 유통주식수 증가로 거래가 활발해질 수 있습니다.
241,시장상식,E,미국 상장사는 분기마다 어떤 보고서를 제출하나요?,10-Q,10-K,1,"힌트! 10-Q=분기, 10-K=연간. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다."
242,배당,E,무배당 기업이 많은 업종은 어디일까요?,고성장 IT/바이오 등 재투자 중심,유틸리티 등 안정업종,1,힌트! 성장기에 현금은 투자로 돌리는 경향. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
243,배당,E,무배당 기업이 많은 업종은 어디일까요?,고성장 IT/바이오 등 재투자 중심,유틸리티 등 안정업종,1,힌트! 성장기에 현금은 투자로 돌리는 경향. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
244,차트/기술,M,강세장에서 RSI가 75인데 상승이 이어집니다. 어떤 해석이 맞을까요?,과매수 상태가 지속될 수 있다,과매수면 즉시 하락한다,1,힌트! RSI 70↑=과매수지만 강세장에서는 오래 유지되기도. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
245,배당,E,대규모 일회성 현금 배당을 발표했습니다. 이것은?,특별배당,정기배당,1,힌트! 비정기적 일회성. 지속성과 별개. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
246,심리/매크로,H,달러 강세가 이어지면 일반적으로 유리한 쪽은?,수출기업,수입기업,1,"힌트! 달러 강세 시 해외 매출 환산 이익↑(수출 유리), 수입 비용↑(수입 불리). 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
247,투자지표,M,A기업의 PER이 25배이고 업계 평균은 12배입니다. 어떤 해석이 맞을까요?,업계 평균보다 저평가됐다,업계 평균보다 비싸지만 성장 기대가 반영됐다,2,"힌트! PER=주가÷이익. 대략 10배↓ 저평가, 20배↑ 성장 기대로 보는 경우가 많아요. 업종 평균과 비교가 핵심. 업계 평균·성장성·재무 구조를 함께 보세요."
248,심리/매크로,E,금리 급등 시 어떤 스타일이 상대적으로 불리할까요?,성장주,가치주,1,"힌트! 할인율↑ → 미래이익 비중 큰 성장주에 부담. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
249,투자지표,E,D기업은 최근 5년 연속 자유현금흐름(FCF)이 플러스입니다. 투자자 입장에서는?,배당·자사주매입 등 주주환원 여력이 크다,현금이 부족해 성장 투자가 어렵다,1,힌트! FCF=영업현금-투자지출. 장기간 플러스는 재무 체력과 유연성을 의미. 업계 평균·성장성·재무 구조를 함께 보세요.
250,심리/매크로,H,고용지표가 크게 호조입니다. 주식시장은?,경기 견조 vs 긴축 우려가 엇갈려 변동성↑,반드시 강세로 직행,1,"힌트! ‘좋은 뉴스=나쁜 뉴스’ 역설 가능. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
251,투자지표,M,E기업은 매출은 늘지만 순이익률이 8%→12%로 하락했습니다. 어떤 신호일까요?,성장과 함께 수익성 악화 위험,안정적이며 특별한 이슈 없음,2,힌트! 매출과 이익률을 함께 봐야 해요. 원가/경쟁/판가 요인을 점검. 업계 평균·성장성·재무 구조를 함께 보세요.
252,기본개념,M,자사주 대규모 매입 발표. 보통 어떤 효과가 있나요?,유통 주식 감소→EPS↑→주가 지지/상승 효과,유통 주식 증가→주가 희석,1,힌트! 공급 감소와 주당지표 개선이 핵심. 예: 공급 감소로 주당이익(EPS) 개선 효과가 납니다.
253,투자지표,H,J기업은 PBR이 높고 ROE도 높습니다. 일반적 해석은?,높은 수익성에 프리미엄이 붙었다,저수익성이라 디스카운트,1,힌트! PBR은 ROE와 같이 봅니다. ROE↑이면 높은 PBR이 정당화되기도. 업계 평균·성장성·재무 구조를 함께 보세요.
254,배당,E,배당락일 다음 날 주가는 보통 어떻게 되나요?,배당금만큼 하락할 수 있음(시장 상황에 따라 달라짐),배당락과 무관하게 급등,1,힌트! 권리 분리로 가격 조정 발생 가능. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
255,배당,E,배당락일 다음 날 주가는 보통 어떻게 되나요?,배당금만큼 하락할 수 있음(시장 상황에 따라 달라짐),배당락과 무관하게 급등,1,힌트! 권리 분리로 가격 조정 발생 가능. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
256,시장상식,M,분기 실적에서 EPS가 컨센서스를 크게 상회했습니다. 보통 시장 반응은?,호재로 주가 상승 가능성,악재로 하락,1,힌트! 실적은 ‘예상 대비’가 관건. 서프라이즈는 긍정 반응이 일반적. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
257,심리/매크로,H,주변이 다 산다고 덩달아 사는 행동은?,군중심리,리스크 회피,1,"힌트! 군중심리는 버블 형성의 촉매가 되기도. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
258,시장상식,M,신규 상장(IPO) 첫날 상한가. 어떤 리스크를 염두에 둘까요?,단기 과열 후 조정 가능성,상장 초기엔 변동이 거의 없다,1,힌트! 수요/공급 불균형으로 급등락이 잦음. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
259,배당,E,25년 연속 배당 인상 기업을 무엇이라 하나요?,배당귀족주,무배당주,1,힌트! S&P500 내 오랜 배당 인상 기록. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
260,배당,E,대규모 일회성 현금 배당을 발표했습니다. 이것은?,특별배당,정기배당,1,힌트! 비정기적 일회성. 지속성과 별개. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
261,심리/매크로,H,주변이 다 산다고 덩달아 사는 행동은?,군중심리,리스크 회피,1,"힌트! 군중심리는 버블 형성의 촉매가 되기도. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
262,시장상식,E,미국 상장사는 분기마다 어떤 보고서를 제출하나요?,10-Q,10-K,1,"힌트! 10-Q=분기, 10-K=연간. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다."
263,배당,E,무배당 기업이 많은 업종은 어디일까요?,고성장 IT/바이오 등 재투자 중심,유틸리티 등 안정업종,1,힌트! 성장기에 현금은 투자로 돌리는 경향. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
264,투자지표,M,A기업의 PER이 30배이고 업계 평균은 10배입니다. 어떤 해석이 맞을까요?,업계 평균보다 저평가됐다,업계 평균보다 비싸지만 성장 기대가 반영됐다,2,"힌트! PER=주가÷이익. 대략 10배↓ 저평가, 20배↑ 성장 기대로 보는 경우가 많아요. 업종 평균과 비교가 핵심. 업계 평균·성장성·재무 구조를 함께 보세요."
265,차트/기술,E,볼린저밴드 하단 접촉 후 거래량이 감소하고 있습니다. 해석은?,매도 압력 완화로 반등 가능성,추가 급락 신호,1,힌트! 하단 접촉+거래량 감소는 하락 피로 시사. 확인 신호 추가 체크. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
266,심리/매크로,E,CPI(물가) 상승률이 예상보다 높게 나왔습니다. 시장 반응은 보통?,금리 인상 우려로 위험자산 압박,성장 기대 확대로 위험자산 급등,1,"힌트! 인플레이션↑ → 긴축 우려. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
267,차트/기술,E,볼린저밴드 하단 접촉 후 거래량이 감소하고 있습니다. 해석은?,매도 압력 완화로 반등 가능성,추가 급락 신호,1,힌트! 하단 접촉+거래량 감소는 하락 피로 시사. 확인 신호 추가 체크. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
268,기본개념,E,신주인수권 발행은 투자자에게 무엇을 의미하나요?,정해진 가격에 새 주식을 살 수 있는 권리,보유 주식을 강제로 팔아야 하는 의무,1,힌트! 권리 행사/양도 가능 여부를 공시로 확인. 예: 권리 행사 기간/가격은 공시로 확인하세요.
269,심리/매크로,E,달러 강세가 이어지면 일반적으로 유리한 쪽은?,수출기업,수입기업,1,"힌트! 달러 강세 시 해외 매출 환산 이익↑(수출 유리), 수입 비용↑(수입 불리). 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
270,심리/매크로,H,금리 급등 시 어떤 스타일이 상대적으로 불리할까요?,성장주,가치주,1,"힌트! 할인율↑ → 미래이익 비중 큰 성장주에 부담. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
271,기본개념,E,액면분할을 실시했습니다. 일반적 효과는?,"주식 수↑, 주당 가격↓(총가치 동일)","주식 수↓, 주당 가격↑(총가치 증가)",1,힌트! 파이를 더 잘게 나누는 개념. 기업 가치 총액은 동일. 거래 활성화 효과가 나타나기도. 예: 분할 후 유통주식수 증가로 거래가 활발해질 수 있습니다.
272,시장상식,M,신규 상장(IPO) 첫날 상한가. 어떤 리스크를 염두에 둘까요?,단기 과열 후 조정 가능성,상장 초기엔 변동이 거의 없다,1,힌트! 수요/공급 불균형으로 급등락이 잦음. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
273,심리/매크로,H,주변이 다 산다고 덩달아 사는 행동은?,군중심리,리스크 회피,1,"힌트! 군중심리는 버블 형성의 촉매가 되기도. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
274,투자지표,H,I기업의 PER은 높지만 이익 성장률도 매우 높습니다. 어떤 관점이 타당할까요?,성장률을 반영한 PEG로도 함께 판단,PER만 보고 비싸다고 판단,1,힌트! PEG=PER÷성장률. 고PER이라도 고성장이면 적정할 수 있어요. 업계 평균·성장성·재무 구조를 함께 보세요.
275,배당,E,배당락일 다음 날 주가는 보통 어떻게 되나요?,배당금만큼 하락할 수 있음(시장 상황에 따라 달라짐),배당락과 무관하게 급등,1,힌트! 권리 분리로 가격 조정 발생 가능. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
276,기본개념,E,액면분할을 실시했습니다. 일반적 효과는?,"주식 수↑, 주당 가격↓(총가치 동일)","주식 수↓, 주당 가격↑(총가치 증가)",1,힌트! 파이를 더 잘게 나누는 개념. 기업 가치 총액은 동일. 거래 활성화 효과가 나타나기도. 예: 분할 후 유통주식수 증가로 거래가 활발해질 수 있습니다.
277,심리/매크로,E,달러 강세가 이어지면 일반적으로 유리한 쪽은?,수출기업,수입기업,1,"힌트! 달러 강세 시 해외 매출 환산 이익↑(수출 유리), 수입 비용↑(수입 불리). 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
278,시장상식,M,경쟁사 인수 발표. 단기 반응은 어떻게 엇갈릴까요?,"피인수 기업 주가↑, 인수 기업은 부담으로 약세 가능",양측 모두 즉시 급등,1,힌트! 인수 프리미엄 vs 자금 부담/시너지 불확실성. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
279,기본개념,E,액면분할을 실시했습니다. 일반적 효과는?,"주식 수↑, 주당 가격↓(총가치 동일)","주식 수↓, 주당 가격↑(총가치 증가)",1,힌트! 파이를 더 잘게 나누는 개념. 기업 가치 총액은 동일. 거래 활성화 효과가 나타나기도. 예: 분할 후 유통주식수 증가로 거래가 활발해질 수 있습니다.
280,시장상식,M,지수 리밸런싱 편입 예상 뉴스. 해당 종목은?,수급 개선 기대로 단기 상승 압력,리밸런싱은 영향이 전혀 없다,1,힌트! 패시브 자금 유입 기대. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
281,기본개념,E,자사주 대규모 매입 발표. 보통 어떤 효과가 있나요?,유통 주식 감소→EPS↑→주가 지지/상승 효과,유통 주식 증가→주가 희석,1,힌트! 공급 감소와 주당지표 개선이 핵심. 예: 공급 감소로 주당이익(EPS) 개선 효과가 납니다.
282,투자지표,M,E기업은 매출은 늘지만 순이익률이 10%→5%로 하락했습니다. 어떤 신호일까요?,성장과 함께 수익성 악화 위험,안정적이며 특별한 이슈 없음,1,힌트! 매출과 이익률을 함께 봐야 해요. 원가/경쟁/판가 요인을 점검. 업계 평균·성장성·재무 구조를 함께 보세요.
283,심리/매크로,H,달러 강세가 이어지면 일반적으로 유리한 쪽은?,수출기업,수입기업,1,"힌트! 달러 강세 시 해외 매출 환산 이익↑(수출 유리), 수입 비용↑(수입 불리). 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
284,투자지표,M,G기업은 EPS가 늘었지만 주가는 제자리입니다. 가장 타당한 해석은?,기대에 이미 반영됐거나 가이던스가 약했다,EPS 증가면 항상 즉시 급등한다,1,힌트! 주가는 ‘예상 대비’에 반응. 가이던스/매크로/밸류 부담도 영향. 업계 평균·성장성·재무 구조를 함께 보세요.
285,심리/매크로,E,국제 유가 급등 시 수혜를 볼 가능성이 큰 업종은?,석유·가스 기업,항공사,1,"힌트! 비용 측면에서 항공/운송은 부담↑. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
286,차트/기술,M,주가가 200일선 위에서 4개월 연속 유지되었습니다. 해석은?,장기 상승 추세 유지 가능성이 크다,즉각 하락 반전 신호,1,힌트! 장기 이평 위 ‘장기간’ 체류는 추세 강도 시사. 거래량/뉴스 병행 확인. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
287,투자지표,M,A기업의 PER이 22배이고 업계 평균은 10배입니다. 어떤 해석이 맞을까요?,업계 평균보다 저평가됐다,업계 평균보다 비싸지만 성장 기대가 반영됐다,2,"힌트! PER=주가÷이익. 대략 10배↓ 저평가, 20배↑ 성장 기대로 보는 경우가 많아요. 업종 평균과 비교가 핵심. 업계 평균·성장성·재무 구조를 함께 보세요."
288,투자지표,H,I기업의 PER은 높지만 이익 성장률도 매우 높습니다. 어떤 관점이 타당할까요?,성장률을 반영한 PEG로도 함께 판단,PER만 보고 비싸다고 판단,1,힌트! PEG=PER÷성장률. 고PER이라도 고성장이면 적정할 수 있어요. 업계 평균·성장성·재무 구조를 함께 보세요.
289,기본개념,M,자사주 대규모 매입 발표. 보통 어떤 효과가 있나요?,유통 주식 감소→EPS↑→주가 지지/상승 효과,유통 주식 증가→주가 희석,1,힌트! 공급 감소와 주당지표 개선이 핵심. 예: 공급 감소로 주당이익(EPS) 개선 효과가 납니다.
290,배당,E,25년 연속 배당 인상 기업을 무엇이라 하나요?,배당귀족주,무배당주,1,힌트! S&P500 내 오랜 배당 인상 기록. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
291,투자지표,E,C기업의 배당성향이 45%로 발표됐습니다. 어떤 해석이 맞을까요?,현금환원이 크지만 지속 가능성은 점검 필요,배당을 거의 하지 않는다,2,"힌트! 배당성향=배당÷순이익. 30~60% 안정, 100%↑는 이익보다 더 줬다는 뜻(지속성 주의). 업계 평균·성장성·재무 구조를 함께 보세요."
292,차트/기술,M,주가가 200일선 위에서 6개월 연속 유지되었습니다. 해석은?,장기 상승 추세 유지 가능성이 크다,즉각 하락 반전 신호,1,힌트! 장기 이평 위 ‘장기간’ 체류는 추세 강도 시사. 거래량/뉴스 병행 확인. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
293,투자지표,E,D기업은 최근 5년 연속 자유현금흐름(FCF)이 플러스입니다. 투자자 입장에서는?,배당·자사주매입 등 주주환원 여력이 크다,현금이 부족해 성장 투자가 어렵다,1,힌트! FCF=영업현금-투자지출. 장기간 플러스는 재무 체력과 유연성을 의미. 업계 평균·성장성·재무 구조를 함께 보세요.
294,기본개념,E,자사주 대규모 매입 발표. 보통 어떤 효과가 있나요?,유통 주식 감소→EPS↑→주가 지지/상승 효과,유통 주식 증가→주가 희석,1,힌트! 공급 감소와 주당지표 개선이 핵심. 예: 공급 감소로 주당이익(EPS) 개선 효과가 납니다.
295,시장상식,E,미국 상장사는 분기마다 어떤 보고서를 제출하나요?,10-Q,10-K,1,"힌트! 10-Q=분기, 10-K=연간. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다."
296,배당,E,대규모 일회성 현금 배당을 발표했습니다. 이것은?,특별배당,정기배당,1,힌트! 비정기적 일회성. 지속성과 별개. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
297,투자지표,M,H기업 부채비율이 높지만 금융업입니다. 어떤 해석이 맞을까요?,업종 특성상 일반 제조업과 단순 비교는 곤란,부채비율이 높으면 무조건 위험하다,1,힌트! 금융업은 레버리지 구조가 높습니다. 업종 특성을 고려해 해석. 업계 평균·성장성·재무 구조를 함께 보세요.
298,투자지표,H,F기업은 ROA가 높지만 ROE는 낮습니다. 무엇 때문일까요?,부채가 적어 레버리지 효과가 낮다,자산이 적어 자본 효율이 낮다,1,힌트! ROE는 레버리지(부채) 영향이 큽니다. 부채가 적으면 ROE가 낮을 수 있어요. 업계 평균·성장성·재무 구조를 함께 보세요.
299,기본개념,E,유상증자와 무상증자의 차이를 올바르게 설명한 것은 무엇일까요?,"유상증자는 주주가 돈을 내고 새 주식을 받으며, 무상증자는 잉여금을 활용해 주주가 돈을 내지 않고 새 주식을 받는다","유상증자는 기존 주주에게 공짜 주식을 주고, 무상증자는 돈을 받고 새 주식을 판다",1,힌트! 유상=자금조달(주주가 돈을 내고 새 주식을 받음). 무상=잉여금 자본전입(돈을 내지 않고 새 주식을 받음). 예: 무상증자 후 주식 수는 늘지만 기업에 새 돈은 들어오지 않습니다.
300,기본개념,M,우선주는 보통 어떤 권리/특징에 초점이 있나요?,배당/의결권 구조가 보통주와 다르다,항상 보통주보다 수익이 높다,1,힌트! 배당 우선/의결권 제한 등 구조적 차이. 예: 배당 우선·의결권 제한 등 조건을 확인하세요.
